Plate format,Incubation,Nuclei - Intensity Nucleus Alexa 488 Mean,Nuclei - Intensity Nucleus Alexa 488 Median,Nuclei - Intensity Nucleus Alexa 568 Mean,Nuclei - Intensity Nucleus Alexa 568 Median,Nuclei - Green nuclei,Nuclei - Red nuclei,Nuclei - Red and Green nuclei,Sample,Samples_order
G11,16 h,0.0,0,0.0,0,0,0,0,DMSO_10%_16h,1
G10,16 h,489.8,479,373.605,365,0,0,0,DMSO_10%_16h,1
G10,16 h,419.051,409,371.601,338,0,0,0,DMSO_10%_16h,1
G10,16 h,545.917,516,387.163,373,1,0,0,DMSO_10%_16h,1
G10,16 h,317.266,311,320.623,303,0,0,0,DMSO_10%_16h,1
G10,16 h,412.557,405,376.127,362,0,0,0,DMSO_10%_16h,1
G10,16 h,540.563,492,376.981,359,1,0,0,DMSO_10%_16h,1
G10,16 h,437.924,425,355.151,338,0,0,0,DMSO_10%_16h,1
G10,16 h,330.722,330,327.441,321,0,0,0,DMSO_10%_16h,1
G10,16 h,493.426,475,366.215,354,0,0,0,DMSO_10%_16h,1
G10,16 h,477.084,463,318.109,305,0,0,0,DMSO_10%_16h,1
G10,16 h,524.778,515,395.462,379,1,0,0,DMSO_10%_16h,1
G10,16 h,479.543,462,391.336,366,0,0,0,DMSO_10%_16h,1
G10,16 h,450.058,449,330.034,327,0,0,0,DMSO_10%_16h,1
G10,16 h,485.724,474,385.446,371,0,0,0,DMSO_10%_16h,1
G10,16 h,488.312,482,393.474,377,0,0,0,DMSO_10%_16h,1
G10,16 h,370.214,363,367.285,354,0,0,0,DMSO_10%_16h,1
G10,16 h,492.685,477,397.477,374,0,0,0,DMSO_10%_16h,1
G10,16 h,475.838,468,338.142,329,0,0,0,DMSO_10%_16h,1
G10,16 h,464.851,462,387.321,381,0,0,0,DMSO_10%_16h,1
G10,16 h,569.778,560,399.484,392,1,0,0,DMSO_10%_16h,1
G10,16 h,446.258,441,362.228,354,0,0,0,DMSO_10%_16h,1
G10,16 h,367.954,359,341.278,330,0,0,0,DMSO_10%_16h,1
