Plate format,Incubation,Nuclei - Intensity Nucleus Alexa 488 Mean,Nuclei - Intensity Nucleus Alexa 488 Median,Nuclei - Intensity Nucleus Alexa 568 Mean,Nuclei - Intensity Nucleus Alexa 568 Median,Nuclei - Green nuclei,Nuclei - Red nuclei,Nuclei - Red and Green nuclei,Sample,Samples_order
G7,30 min,567.931,572,393.226,379,1,0,0,DMSO_10%_30min,1
G6,30 min,401.832,389,1335.47,413,0,1,0,DMSO_10%_30min,1
G6,30 min,669.211,635,727.488,616,1,1,1,DMSO_10%_30min,1
G6,30 min,558.276,556,454.102,439,1,0,0,DMSO_10%_30min,1
G6,30 min,360.908,355,407.347,399,0,0,0,DMSO_10%_30min,1
G6,30 min,667.624,644,798.162,642,1,1,1,DMSO_10%_30min,1
G6,30 min,2562.94,2531,1580.04,1547,1,1,1,DMSO_10%_30min,1
G6,30 min,494.459,468,392.126,375,0,0,0,DMSO_10%_30min,1
G6,30 min,2295.52,2190,1209.02,1142,1,1,1,DMSO_10%_30min,1
G6,30 min,418.624,410,390.613,369,0,0,0,DMSO_10%_30min,1
G6,30 min,536.072,514,435.498,431,1,0,0,DMSO_10%_30min,1
G6,30 min,606.072,590,738.106,670,1,1,1,DMSO_10%_30min,1
G6,30 min,542.257,522,1380.09,451,1,1,1,DMSO_10%_30min,1
G6,30 min,650.18,629,493.253,478,1,0,0,DMSO_10%_30min,1
G6,30 min,546.595,522,499.986,472,1,0,0,DMSO_10%_30min,1
G6,30 min,605.081,581,686.941,625,1,1,1,DMSO_10%_30min,1
G6,30 min,597.48,564,890.789,454,1,1,1,DMSO_10%_30min,1
G6,30 min,620.205,607,515.448,491,1,1,1,DMSO_10%_30min,1
G6,30 min,464.552,422,493.611,459,0,0,0,DMSO_10%_30min,1
G6,30 min,542.785,524,702.976,680,1,1,1,DMSO_10%_30min,1
G6,30 min,384.905,371,945.322,877,0,1,0,DMSO_10%_30min,1
G6,30 min,366.546,361,349.877,339,0,0,0,DMSO_10%_30min,1
G6,30 min,397.573,379,546.145,519,0,1,0,DMSO_10%_30min,1
