Database Name	ODA
Database Link	http://localhost/ODA/OdaService.asmx
Evaluation Signature	d6cc41ab-1a56-4e69-a568-0d27fb6df431
Plate Name	241213_182618-V
Measurement	Measurement 2
Evaluation	Evaluation4
Population	Population - Nuclei

[Data]
Row	Column	Timepoint	Field	Object No	X	Y	Bounding Box	Position X [µm]	Position Y [µm]	Compound	Concentration	Cell Type	Cell Count	Nuclei - Nucleus Area [µm²]	Nuclei - Nucleus Roundness	Nuclei - Intensity Nucleus Alexa 488 Mean	Nuclei - Intensity Nucleus Alexa 488 Median	Nuclei - Intensity Nucleus Alexa 568 Mean	Nuclei - Intensity Nucleus Alexa 568 Median	Nuclei - Green nuclei	Nuclei - Red nuclei	Nuclei - Red and Green nuclei	
2	8	1	1	1	116	16	[93,0,155,34]	-120.59	152.5					144.533	0.818041	358.428	351	231.344	229	0	0	0	
2	8	1	1	2	268	22	[246,0,309,44]	-76.33	150.84					190.908	0.90228	481.173	470	315.513	300	0	0	0	
2	8	1	1	3	401	13	[363,0,422,27]	-42.37	153.37					112.518	0.749322	455.647	449	315.59	301	0	0	0	
2	8	1	1	4	549	14	[519,0,560,31]	0.76	151.97					72.0552	0.753797	484.098	476	332.686	329	0	0	0	
2	8	1	1	5	734	21	[711,0,770,42]	58.09	151.32					153.825	0.880566	406.104	399	307.142	300	0	0	0	
2	8	1	1	6	847	29	[820,1,875,55]	89.76	148.51					199.44	0.978449	377.537	369	345.404	323	0	0	0	
2	8	1	1	7	937	22	[915,0,966,44]	116.41	150.93					156.866	0.904205	357.377	356	337.647	332	0	0	0	
2	8	1	1	8	1003	55	[974,25,1034,86]	134.83	140.55					226.387	0.981363	351.927	343	289.821	282	0	0	0	
2	8	1	1	9	642	54	[616,30,671,81]	30.27	140.47					183.221	0.959583	467.992	462	335.143	328	0	0	0	
2	8	1	1	10	101	91	[76,63,127,120]	-127.66	130.4					186.178	0.99016	422.532	413	278.441	272	0	0	0	
2	8	1	1	11	20	106	[0,85,42,135]	-151.08	125.06					155.852	0.907723	458.179	453	270.367	264	0	0	0	
2	8	1	1	12	212	115	[182,85,244,160]	-94.54	121.47					306.214	0.962844	465.247	451	344.905	330	0	0	0	
2	8	1	1	13	583	116	[558,92,621,145]	14.4	122.06					203.664	0.969412	475.774	469	346.697	337	0	0	0	
2	8	1	1	14	727	118	[699,91,754,147]	54.23	122.32					208.31	0.99588	441.737	435	333.662	328	0	0	0	
2	8	1	1	15	848	151	[818,123,876,183]	89.65	112.17					235.594	0.984047	393.057	390	311.334	309	0	0	0	
2	8	1	1	16	1067	145	[1055,127,1079,172]	153.61	113.14					79.9957	0.827436	408.549	402	294.418	290	0	0	0	
2	8	1	1	17	400	178	[361,135,441,218]	-40.22	104.82					407.496	0.713145	537.392	538	368.16	361	1	0	0	
2	8	1	1	18	1060	195	[1042,174,1079,218]	151.78	99.88					119.022	0.899425	392.955	389	338.775	306	0	0	0	
2	8	1	1	19	24	216	[0,181,48,260]	-150.63	92.77					252.405	0.89264	497.571	482	322.514	311	0	0	0	
2	8	1	1	20	965	207	[939,181,991,239]	123.41	95.71					193.105	0.99609	373.437	369	296.342	293	0	0	0	
2	8	1	1	21	619	209	[587,183,644,235]	22.13	95.91					190.148	0.945362	500.083	494	380.045	354	1	0	0	
2	8	1	1	22	530	220	[506,195,554,251]	-2.87	92.05					174.352	0.968215	565.53	548	554.976	367	1	1	1	
2	8	1	1	23	293	268	[261,236,326,308]	-70.79	77.81					305.538	0.967103	551.85	533	366.708	349	1	0	0	
2	8	1	1	24	493	256	[469,235,513,280]	-13.43	82.28					118.093	0.919411	599.522	585	449.109	409	1	0	0	
2	8	1	1	25	922	268	[896,240,952,296]	111.34	78.92					207.718	0.987275	442.588	413	329.693	310	0	0	0	
2	8	1	1	26	1062	281	[1044,260,1079,302]	151.89	74.94					100.86	0.938916	438.734	426	319.363	313	0	0	0	
2	8	1	1	27	984	298	[960,278,1003,337]	128.4	67.35					159.147	0.955107	429.162	427	324.057	320	0	0	0	
